"cell_type","global_prop","transition_prop","fold_change","p_value","statistic","method"
"Cathepsin+ 1",0.0291287322535156,0.0426306810911102,1.46352682705458,4.69769747714153e-05,739,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 3",0.0194833332360677,0.0416080108763327,2.13556943117452,6.67642392838542e-05,732,"Wilcoxon rank sum test with continuity correction"
"Neural 4",0.0167423587397682,0.0201601505647439,1.20414040088971,0.000643233851496619,683,"Wilcoxon rank sum test with continuity correction"
"Intestine 5",0.0259737606914775,0.0391529962866921,1.50740575274257,0.00102087608371809,672,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 4",0.0129995341793082,0.0258063471102989,1.98517475736752,0.00141331597895919,664,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 6",0.000217132419437157,0.00154164017800381,7.1,0.00209314562985994,462,"Wilcoxon rank sum test with continuity correction"
"Epidermal 5",0.0310498137468797,0.0403002581247652,1.29792270102796,0.0027386787133345,647,"Wilcoxon rank sum test with continuity correction"
"Intestine 3",0.0240261116984531,0.0358754960652179,1.49318776652186,0.00273876326871903,647,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 8",0.00254187746617697,0.0179723098218396,7.07048630824455,0.00405715441054494,496,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 1",0.0323818427761314,0.0421191209664034,1.30070179321139,0.0138619875268231,600,"Wilcoxon rank sum test with continuity correction"
"Epidermal 2",0.0430563889335384,0.0495794445643499,1.15150029513345,0.0252376138765309,580,"Wilcoxon rank sum test with continuity correction"
"Intestine 1",0.032239099526756,0.0372365969602162,1.15501355518049,0.0392285028225004,564,"Wilcoxon rank sum test with continuity correction"
"Neoblast 4",0.0113849789718043,0.0263334550268679,2.31299988274766,0.0495385058622079,555,"Wilcoxon rank sum test with continuity correction"
"Intestine 4",0.0231184545268475,0.0271956097887186,1.17635933479621,0.0665238449634276,543,"Wilcoxon rank sum test with continuity correction"
"Epidermal 6",0.0174821169897566,0.0361060222478987,2.06531178512617,0.100015856493904,525,"Wilcoxon rank sum test with continuity correction"
"Epidermal 3",0.022023431155695,0.037006556731468,1.68032657898987,0.104388469785893,523,"Wilcoxon rank sum test with continuity correction"
"Neural 10",0.000624184838525325,0.000129366106080207,0.207256085210019,0.180977884383664,446.5,"Wilcoxon rank sum test with continuity correction"
"Parenchymal",0.00191107370508081,0.00181639068041544,0.950455587132176,0.214486658232959,485,"Wilcoxon rank sum test with continuity correction"
"Neoblast 1",0.0442817712148245,0.0525862787502293,1.18753783571838,0.251964074804405,475,"Wilcoxon rank sum test with continuity correction"
"Neural 9",0.00201886235926139,0.00264375054566397,1.30952490819196,0.275966687774782,469,"Wilcoxon rank sum test with continuity correction"
"Size.specific 1",0.00027903858307428,0.000602714247957324,2.1599674185447,0.318077562709998,455,"Wilcoxon rank sum test with continuity correction"
"Epidermal 7",0.0193723394917022,0.0276439332555767,1.42697959982673,0.32281032887911,458,"Wilcoxon rank sum test with continuity correction"
"Testes",0.00245536994190743,0.005252142251172,2.13904314846012,0.327011137777856,457,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 3",0.00888599640708479,0.00787703265368854,0.886454629602167,0.349645476008493,452,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 7",0.00872282755483546,2.97053524075121e-05,0.00340547284934518,0.409942028457601,432,"Wilcoxon rank sum test with continuity correction"
"Muscle 1",0.0522065831487276,0.0415133441964915,0.795174510429598,0.473113592655839,426,"Wilcoxon rank sum test with continuity correction"
"Epidermal 4",0.0328147399349881,0.0280045386736688,0.853413396819565,0.618078564453977,396,"Wilcoxon rank sum test with continuity correction"
"Size.specific 3",0,0,NA,0.647855083243365,415,"Wilcoxon rank sum test with continuity correction"
"Intestine 6",0.0148016989485191,0.0134636159703848,0.909599365397967,0.654884120646573,388,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 5",0.00959552219587663,0.00692228879228589,0.721408241362885,0.663876498625847,386,"Wilcoxon rank sum test with continuity correction"
"Neural 8",0.00292247650756301,0.00218235082937546,0.746747090602032,0.707361855682426,376,"Wilcoxon rank sum test with continuity correction"
"Neural 5",0.00842396208369846,0.00749142588692285,0.889299573346822,0.748035925195595,366,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 6",0.00773072498552499,0.00675375440405545,0.87362497265149,0.832133071103656,342,"Wilcoxon rank sum test with continuity correction"
"Neoblast 5",0.0151034991862496,0.0134272525148887,0.889016005450777,0.838216508208143,340,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 2",0.0256452789933096,0.0188624999373295,0.735515489702817,0.866453555259924,330,"Wilcoxon rank sum test with continuity correction"
"Intestine 2",0.0246261531130059,0.0223008761957638,0.905576932516752,0.908325242734455,312,"Wilcoxon rank sum test with continuity correction"
"Epidermal 1",0.0569724564482265,0.0625694795359157,1.09824085947173,0.914234468042224,309,"Wilcoxon rank sum test with continuity correction"
"Muscle 4",0.0233968415647752,0.0182006756653032,0.777911651660921,0.933476155036572,298,"Wilcoxon rank sum test with continuity correction"
"Neural 3",0.0243304981149466,0.0106878071771338,0.439276135105845,0.945233275441253,290,"Wilcoxon rank sum test with continuity correction"
"Neoblast 3",0.0161707500017478,0.0150165597367487,0.928624815492523,0.949193335263401,287,"Wilcoxon rank sum test with continuity correction"
"Nueral 7",0.00511048502868565,0.00267948035622197,0.524310381731242,0.967521171178914,270,"Wilcoxon rank sum test with continuity correction"
"Neural 1",0.0484518744076794,0.021697276819954,0.447810886270173,0.970104915470415,267,"Wilcoxon rank sum test with continuity correction"
"Size.specific 2",2.52682221784239e-05,0,0,0.973106207975057,300,"Wilcoxon rank sum test with continuity correction"
"Intestine 7",0.0173017940680986,0.00826703850203286,0.477813946316458,0.975476178251276,260,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 5",5.58016806343258e-05,0,0,0.976112725260796,295,"Wilcoxon rank sum test with continuity correction"
"Neural 2",0.0395561345920608,0.0167708908937599,0.423976990338332,0.989255265464026,233,"Wilcoxon rank sum test with continuity correction"
