"cell_type","global_prop","transition_prop","fold_change","p_value","statistic","method"
"Muscle 2",0.0291250983548092,0.00487891949345308,0.167515983431776,0.00286426881042987,32,"Wilcoxon rank sum test with continuity correction"
"Neural 1",0.0455511568796527,0.0162587104705003,0.356932986651825,0.00725287584934263,49,"Wilcoxon rank sum test with continuity correction"
"Muscle 3",0.0272741735470702,0.00834137229300719,0.305834099009875,0.00984775048272196,55,"Wilcoxon rank sum test with continuity correction"
"Epidermal 1",0.0462872895476955,0.0183442182520286,0.396312215108779,0.0152508638431358,64,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 3",0.00717324552932374,0.00429431884964542,0.598657725027052,0.0274288919950548,77,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 5",0.00966311685135442,0.00441625118456088,0.457021399253998,0.0298815379055038,79,"Wilcoxon rank sum test with continuity correction"
"Neural 2",0.0379298846105558,0.0142995046584788,0.376998369631193,0.0311744929374985,80,"Wilcoxon rank sum test with continuity correction"
"Neural 3",0.0218059183652861,0.00684336989249561,0.313830849857253,0.0311744929374985,80,"Wilcoxon rank sum test with continuity correction"
"Intestine 2",0.0288616604897854,0.015988187323591,0.553959372131396,0.0338993562144615,82,"Wilcoxon rank sum test with continuity correction"
"Intestine 6",0.0145285542068722,0.010798079424164,0.743231519833983,0.054626278759787,94,"Wilcoxon rank sum test with continuity correction"
"Neoblast 2",0.0232854741587149,0.0151566447402049,0.650905566143788,0.0634259151843449,98,"Wilcoxon rank sum test with continuity correction"
"Neural 6",0.00740647245696269,0.00379038178625946,0.511766135401772,0.0682196984633902,100,"Wilcoxon rank sum test with continuity correction"
"Nueral 7",0.00461758307103299,0.00227428281536464,0.492526670420218,0.0814306198801222,105,"Wilcoxon rank sum test with continuity correction"
"Muscle 5",0.0145590686860324,0.00720760395663405,0.495059410190766,0.093319722663461,109,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 2",0.0190296470236262,0.0124030566260441,0.651775443372394,0.109924937073194,114,"Wilcoxon rank sum test with continuity correction"
