"cell_type","global_prop","transition_prop","fold_change","p_value","statistic","method"
"Parenchymal 5",0.00367738834317209,0.00993483843170445,2.7016016543781,0.000981377668917301,309,"Wilcoxon rank sum test with continuity correction"
"Testes",0.0126510837885874,0.0442252688794117,3.4957691861394,0.00147505748002365,339,"Wilcoxon rank sum test with continuity correction"
"Size.specific 2",0.00181040329001672,0.00376853648547142,2.0816005506909,0.00219899027203406,297,"Wilcoxon rank sum test with continuity correction"
"Epidermal 5",0.0180540994948403,0.0818826522416891,4.5354049513846,0.0084632028513459,308,"Wilcoxon rank sum test with continuity correction"
"Neural 4",0.0165603399545762,0.0206572885957438,1.24739520157227,0.0145457300667488,297,"Wilcoxon rank sum test with continuity correction"
"Size.specific 1",0.0277209610042893,0.00905563664045975,0.326671093367166,0.0185734253015852,280,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 4",0.0161551524648569,0.025325296072205,1.56762965421072,0.0201274885392302,290,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 3",0.0177732416523844,0.0305009325413433,1.71611533438254,0.0210570335669361,289,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 1",0.0317268304164271,0.0452722801299507,1.42693989710709,0.0210570335669361,289,"Wilcoxon rank sum test with continuity correction"
"Epidermal 8",0.0168489654564233,0.0333471529856885,1.97918104063628,0.0682211146492572,260,"Wilcoxon rank sum test with continuity correction"
"Neoblast 4",0.0169915623624333,0.0204750842992452,1.20501481043989,0.0842899612989304,254,"Wilcoxon rank sum test with continuity correction"
"Epidermal 6",0.0244272552104929,0.0364641220352409,1.49276378868705,0.093319722663461,251,"Wilcoxon rank sum test with continuity correction"
"Neoblast 1",0.04641558515236,0.0579408219873975,1.24830532238699,0.0997245702354834,249,"Wilcoxon rank sum test with continuity correction"
"Neoblast 3",0.0198368213241834,0.0215211357225272,1.08490848260504,0.128550688167303,241,"Wilcoxon rank sum test with continuity correction"
"Neural 8",0.00276364980509991,0.00307293066692408,1.11191029386337,0.128550688167303,241,"Wilcoxon rank sum test with continuity correction"
"Intestine 4",0.0245960364477973,0.0288562234354062,1.17320623982042,0.144949783247624,237,"Wilcoxon rank sum test with continuity correction"
"Intestine 5",0.019598369708359,0.0302939123374275,1.54573634379939,0.149260506239202,236,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 1",0.0244088925733724,0.0291181842935424,1.19293344448192,0.186798318728218,228,"Wilcoxon rank sum test with continuity correction"
"Intestine 1",0.0320141322325908,0.0319125033751793,0.996825500167453,0.218471367067969,222,"Wilcoxon rank sum test with continuity correction"
"Epidermal 2",0.0283880042866502,0.0545596832377333,1.92192739886934,0.229679490349037,220,"Wilcoxon rank sum test with continuity correction"
"Epidermal 7",0.0258850035462994,0.0311604880070005,1.20380466439825,0.229679490349037,220,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 7",0.00500215917374169,0.000941872981700754,0.188293284756914,0.262672291284141,201.5,"Wilcoxon rank sum test with continuity correction"
"Neural 9",0.00252464802474491,0.00267616131900593,1.06001363072238,0.283853098734862,211,"Wilcoxon rank sum test with continuity correction"
"Neoblast 5",0.0168332791447219,0.0203811521994689,1.21076541440587,0.29672130513561,209,"Wilcoxon rank sum test with continuity correction"
"Epidermal 3",0.0292349401735143,0.0302471114544166,1.03462197202713,0.303233816495504,208,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 6",0.0082279887732948,0.00784906524789911,0.953947005053586,0.316446549233175,206,"Wilcoxon rank sum test with continuity correction"
"Intestine 3",0.0236286980450756,0.0237304629279719,1.00430683411765,0.392960998850591,195,"Wilcoxon rank sum test with continuity correction"
"Neural 5",0.00828478436353922,0.00798729086305373,0.964091581937275,0.4147219907498,192,"Wilcoxon rank sum test with continuity correction"
"Muscle 4",0.02581948648707,0.0220923851552443,0.855647735918675,0.451546069179774,187,"Wilcoxon rank sum test with continuity correction"
"Parenchymal",0.00169292238359146,0.00159213209353048,0.940463726489837,0.473863667173627,184,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 6",0.000200213010130366,0,0,0.603926304102051,178,"Wilcoxon rank sum test with continuity correction"
"Size.specific 3",0.000184446545085653,0,0,0.603926304102051,178,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 8",0.00234380909218915,0,0,0.675538938348783,172,"Wilcoxon rank sum test with continuity correction"
"Neural 10",4.88921718046728e-05,0,0,0.675538938348783,172,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 4",0.00657750164099286,0.00587539463712465,0.893256278418468,0.683554064914738,155,"Wilcoxon rank sum test with continuity correction"
"Muscle 1",0.0354612988356826,0.0314908984761038,0.888035675794717,0.728665121731464,148,"Wilcoxon rank sum test with continuity correction"
"Epidermal 4",0.0290580840376189,0.0242886639039828,0.835865980445868,0.764597867081465,142,"Wilcoxon rank sum test with continuity correction"
"Intestine 7",0.0153479456594886,0.00940099045487403,0.61252435103991,0.823093827542855,131,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 2",0.0241267801437263,0.016806544117899,0.696592915332269,0.867475584579673,121,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 2",0.0190296470236262,0.0124030566260441,0.651775443372394,0.893555217839747,114,"Wilcoxon rank sum test with continuity correction"
"Muscle 5",0.0145590686860324,0.00720760395663405,0.495059410190766,0.909766367230862,109,"Wilcoxon rank sum test with continuity correction"
"Nueral 7",0.00461758307103299,0.00227428281536464,0.492526670420218,0.921354947942433,105,"Wilcoxon rank sum test with continuity correction"
"Neural 6",0.00740647245696269,0.00379038178625946,0.511766135401772,0.934211736986946,100,"Wilcoxon rank sum test with continuity correction"
"Neoblast 2",0.0232854741587149,0.0151566447402049,0.650905566143788,0.938871191479,98,"Wilcoxon rank sum test with continuity correction"
"Intestine 6",0.0145285542068722,0.010798079424164,0.743231519833983,0.947415372800816,94,"Wilcoxon rank sum test with continuity correction"
"Intestine 2",0.0288616604897854,0.015988187323591,0.553959372131396,0.96748661616735,82,"Wilcoxon rank sum test with continuity correction"
"Neural 2",0.0379298846105558,0.0142995046584788,0.376998369631193,0.970118462094496,80,"Wilcoxon rank sum test with continuity correction"
"Neural 3",0.0218059183652861,0.00684336989249561,0.313830849857253,0.970118462094496,80,"Wilcoxon rank sum test with continuity correction"
"Cathepsin+ 5",0.00966311685135442,0.00441625118456088,0.457021399253998,0.971366619257988,79,"Wilcoxon rank sum test with continuity correction"
"Parenchymal 3",0.00717324552932374,0.00429431884964542,0.598657725027052,0.973733048374248,77,"Wilcoxon rank sum test with continuity correction"
"Epidermal 1",0.0462872895476955,0.0183442182520286,0.396312215108779,0.985454269933251,64,"Wilcoxon rank sum test with continuity correction"
"Muscle 3",0.0272741735470702,0.00834137229300719,0.305834099009875,0.990634214927669,55,"Wilcoxon rank sum test with continuity correction"
"Neural 1",0.0455511568796527,0.0162587104705003,0.356932986651825,0.993115243256719,49,"Wilcoxon rank sum test with continuity correction"
"Muscle 2",0.0291250983548092,0.00487891949345308,0.167515983431776,0.99729591558286,32,"Wilcoxon rank sum test with continuity correction"
