"cell_type","log2_mean_fc","log2_var_fc","p_sum","significance"
"Muscle 2",-2.03383500933906,-3.06488382490198,6.49284109126761,"Top 10%"
"Neoblast 4",1.55934591148305,3.29367193303436,6.25929634797672,"Top 10%"
"Muscle 3",-1.60056565291918,-2.80328390643833,6.09255518228714,"Top 10%"
"Neural 1",-1.28401924848182,-4.11451904308514,5.71934329018443,"Top 10%"
"Muscle 5",-1.41069072471477,-3.66735816828873,5.55479491648148,"Top 10%"
"Neural 6",-1.16279256861613,-2.45664448640536,5.06757746054178,"Top 10%"
"Neural 2",-1.36806911256062,-2.91174163570024,4.68611555015242,"Top 25%"
"Intestine 7",-1.18387973908086,-2.76572024472683,4.34815603885554,"Top 25%"
"Epidermal 8",-1.53018147547462,-6.77367590272468,4.32986999510028,"Top 25%"
"Cathepsin+ 3",1.39174548963204,0.939741174531515,4.22825577042448,"Top 25%"
"Neural 3",-1.31358902626286,-3.35660630627702,4.15924002174436,"Top 25%"
"Cathepsin+ 4",1.24331386234337,0.529688205659822,3.96763486308262,"Top 25%"
"Nueral 7",-1.03956347546082,-1.32012145964085,3.88638251817925,"Top 25%"
"Parenchymal 2",-0.801401608732543,-2.58462461688545,3.86800156992314,"Not significant"
"Parenchymal 6",10.5911858760934,4.63032068178668,3.72518884098799,"Not significant"
"Size.specific 1",1.41131974438539,-0.723734877067217,3.46585126503212,"Not significant"
"Cathepsin+ 8",10.4003886397376,11.6432544107586,3.43556003095068,"Not significant"
"Cathepsin+ 1",0.663445946185061,0.556250852311542,3.356513880943,"Not significant"
"Epidermal 6",1.32320636973002,2.10390588639693,3.26336487789251,"Not significant"
"Neoblast 2",-0.624567753651824,-1.6953644375136,3.14887574049472,"Not significant"
"Intestine 3",0.69999896650695,1.02772239785121,3.14195201301936,"Not significant"
"Neural 4",0.31709310005302,-0.447705701708802,3.10084332897764,"Not significant"
"Intestine 5",0.71733564692045,-0.990291838495776,2.85259284080494,"Not significant"
"Parenchymal 4",-0.661580038974013,-0.184134813046358,2.72934613915065,"Not significant"
"Neoblast 1",0.293017497483528,1.6648180421975,2.71661103507773,"Not significant"
"Epidermal 1",0.158615632523783,2.98880800986798,2.70107248446981,"Not significant"
"Epidermal 3",0.919310232829898,0.00526186877589167,2.43794224689415,"Not significant"
"Cathepsin+ 2",-0.504384230100162,-1.01560884312911,2.42952796323351,"Not significant"
"Testes",1.39470878606454,0.717580169657766,2.42607118765681,"Not significant"
"Epidermal 4",-0.26293356715578,-1.17238934403074,2.27848674068064,"Not significant"
"Epidermal 7",0.617629013582041,-0.62051314883416,2.26443924607627,"Not significant"
"Intestine 6",-0.15790927683011,-1.60275608125714,1.65619611607858,"Not significant"
"Epidermal 5",0.448431140725287,-1.24187060808079,1.60292457581429,"Not significant"
"Parenchymal 1",0.452208546733341,0.289191401631044,1.58182810882792,"Not significant"
"Epidermal 2",0.239792915497607,-1.91992402160054,1.4827063346436,"Not significant"
"Neural 8",-0.479807568084496,-0.830873941567797,1.41361327621253,"Not significant"
"Intestine 1",0.245038332856633,-1.10059184677934,1.40402025445808,"Not significant"
"Muscle 1",-0.378295763757941,-1.24485272841984,1.3289203512007,"Not significant"
"Intestine 4",0.276642719926794,-0.516692418723767,1.17171919420471,"Not significant"
"Cathepsin+ 5",-0.535476273051858,-2.13633961619765,1.17161189633556,"Not significant"
"Neural 5",-0.195180971569489,0.504874738654543,1.03099628473432,"Not significant"
"Neoblast 5",-0.195717678690548,-0.936358713388517,0.977602707001648,"Not significant"
"Muscle 4",-0.413893963434821,-1.31562529734589,0.947335414098346,"Not significant"
"Neural 9",0.463964008391559,-0.195301768449187,0.894185561860136,"Not significant"
"Neoblast 3",-0.123607134184334,0.0697360897332758,0.692934977273143,"Not significant"
"Cathepsin+ 6",-0.224466452739703,0.177138456824597,0.686697684707756,"Not significant"
"Intestine 2",-0.165244561489837,-0.347149969922475,0.665513179851601,"Not significant"
"Parenchymal 3",-0.200464985821793,-0.326390455783908,0.644800390674799,"Not significant"
"Neural 10",-2.43771770537587,-4.64054720998262,0.568983546803919,"Not significant"
"Cathepsin+ 7",-8.36862169267647,-11.272056195252,0.503750445196076,"Not significant"
"Parenchymal 5",-6.04328975378363,-0.278119547029222,0.414634065993591,"Not significant"
"Size.specific 2",-4.92650017855522,-0.0741818154157482,0.307392286674328,"Not significant"
"Parenchymal",-0.084933761642858,-0.292814569156757,0.161098771723504,"Not significant"
